model,params_m,val_p90_e4,val_p90_e8,val_p90_e12,val_p90_e16,test_p90_e16,train_h_e1_4,train_h_e5_8,train_h_e9_12,train_h_e13_16,inference_ms
distilbert/distilbert-base-cased,44.1,3.913207939623938,3.501533209180571,3.2986192163027983,4.502110390666449,14.567219,2.034545,1.930757,1.930757,1.930757,36.9376
distilbert/distilbert-base-uncased,45.3,3.0474295661653485,2.7607138254657144,2.2126506379532307,2.102961840321886,3.353849,1.825507,1.951565,1.951565,1.951565,31.3108
google-bert/bert-base-multilingual-uncased,125.2,3.2814526453791037,2.9355816546970543,2.250185084331773,2.0980043376144555,4.420443,2.4193,2.459336,2.459336,2.459336,38.5083
sentence-transformers/paraphrase-TinyBERT-L6-v2,45.9,4.87614585092529,5.1974990815983295,7.925838331466042,8.090773122313083,17.27703,1.926623,1.812058,1.812058,1.812058,32.2532
FacebookAI/roberta-base,82.5,3.5800099148546902,3.4372061913557244,2.2666547340482404,1.97147961465112,3.294711,2.111071,2.143601,2.143601,2.143601,37.1845
FacebookAI/xlm-roberta-base,235.9,11.501441493647595,3.3158121432370287,2.260883056586924,2.1899905544396825,3.544699,2.485554,2.516541,2.516541,2.516541,37.2065
distilbert/distilgpt2,61.1,4.4145413353136265,4.306196898696892,2.348670422827568,2.0036622814152585,3.147858,2.155651,2.192772,2.192772,2.192772,39.1863
google-bert/bert-base-cased,66.1,3.6104376437802337,2.8771635863038427,2.3653742775780167,2.2740723349954215,3.696221,2.628202,2.813558,2.813558,2.813558,37.7991
google/bert_uncased_L-2_H-256_A-4,8.8,3.9385197242416914,2.78506775926579,2.2094141114264887,2.12228310536401,4.536384,0.989861,1.216698,1.216698,1.216698,27.0022
google/bert_uncased_L-2_H-768_A-12,31.6,3.3182716178623695,2.547874958619319,2.081230714678864,2.1403691502779005,3.441706,1.610709,1.605894,1.605894,1.605894,33.3267
google/electra-small-discriminator,8.8,6.269911687747548,3.005266258737377,2.3447637927643803,1.9705927157530807,2.746636,1.725141,1.74418,1.74418,1.74418,44.8288
google/electra-small-generator,8.8,4.561031709497278,2.4717605690538966,2.0156571384448037,1.9937852929858273,3.101331,1.617871,1.404359,1.404359,1.404359,38.5066
sentence-transformers/all-mpnet-base-v2,67.3,4.725264987083913,2.716089138612499,6.171367566541321,29.212167105357025,153.796094,1.843974,2.578909,2.578909,2.578909,42.2996
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,17.5,5.013967322222428,2.9883435089031933,2.107124074680909,1.9174689387299348,4.082362,1.079618,1.097948,1.097948,1.097948,30.7300
sentence-transformers/multi-qa-MiniLM-L6-dot-v1,17.5,3.9748491012835134,4.170435304203768,2.158808418819432,2.1592925777609273,5.084016,1.230937,1.262192,1.262192,1.262192,30.8947
sentence-transformers/paraphrase-albert-base-v2,8.1,6.213192502042391,6.494147750179562,5.321555499500284,7.295196351799119,51.796462,1.834323,2.763805,2.763805,2.763805,40.2695
sentence-transformers/paraphrase-mpnet-base-v2,67.3,3.2389034974347335,2.995575112338903,2.5986030743381434,23.137093302555044,36.427907,1.76978,2.562959,2.562959,2.562959,42.5519
EleutherAI/pythia-31m,15.5,3.354685724472136,4.270744618882373,3.7280369403460156,3.295204054380398,8.071925,1.269363,1.202205,1.202205,1.202205,34.1506
EleutherAI/pythia-70m-deduped,35.6,15425.647086448847,15425.647086448847,15425.647086448847,15425.647086448847,5242.334448,1.397328,1.406783,1.406783,1.406783,35.3099
HuggingFaceTB/SmolLM-135M-Instruct,81.9,2.6883497738737736,1.9975846705321683,1.9907411815012657,1.775789367309529,3.034227,5.290312,5.320508,5.320508,5.320508,76.8532
HuggingFaceTB/SmolLM-135M,81.9,2.9302202528314996,2.047867346693114,1.7737150150502434,1.6674347727870058,2.654002,5.31929,5.334602,5.334602,5.334602,73.4064
HuggingFaceTB/SmolLM-360M-Instruct,205.4,2.673464513106135,2.139732898916078,29.015473667501187,30.940704811447443,168.780084,9.111691,9.186461,9.186461,9.186461,78.1522
distilbert/distilbert-base-multilingual-cased,113.6,3.43762094086814,2.9130343395413334,8.55928129179338,4.575369820329435,13.812587,2.065946,1.971896,1.971896,1.971896,37.1152
distilbert/distilroberta-base,61.0,3.571198169549683,2.822540484720871,2.381548905309425,2.109722543191146,4.941343,1.677703,1.712956,1.712956,1.712956,41.5693
facebook/opt-125m,83.1,2.57871650585116,2.117578871266682,1.8670716055395664,2.0750818174801804,3.906135,2.857155,2.8654,2.8654,2.8654,42.6454
google-bert/bert-base-multilingual-cased,135.7,3.682658688198059,3.2604719227832666,2.25634241337975,2.1017259026581616,3.763776,2.606718,2.567066,2.567066,2.567066,41.1369
google/bert_uncased_L-10_H-768_A-12,60.2,3.1582446333090344,2.4591084172609325,2.2270752627477792,1.9423559823400682,3.069566,2.307263,2.33598,2.33598,2.33598,41.6676
