model,params_m,val_p90_e4,val_p90_e8,val_p90_e12,val_p90_e16,test_p90_e16,train_h_e1_4,train_h_e5_8,train_h_e9_12,train_h_e13_16,inference_ms
distilbert/distilbert-base-cased,44.1,2.7674,2.2104,1.6200,1.4422,23.4943,0.65804,0.662027,0.662027,0.662027,43.6879
distilbert/distilbert-base-uncased,45.3,2.8368,1.7170,1.8954,1.4230,3.8632,0.592546,0.595592,0.595592,0.595592,42.9090
google-bert/bert-base-multilingual-uncased,125.2,2.7691,2.3193,2.1319,1.8638,8.7510,0.764962,0.769802,0.769802,0.769802,51.4821
sentence-transformers/paraphrase-TinyBERT-L6-v2,45.9,21.8839,3.8138,2.1261,1.7670,12.0574,0.592814,0.597179,0.597179,0.597179,43.2355
FacebookAI/roberta-base,82.5,14.3975,2.8648,1.7322,1.4815,18.0616,0.696755,0.700713,0.700713,0.700713,51.1312
FacebookAI/xlm-roberta-base,235.9,8.8084,4.4821,5.1967,5.1899,23.2149,1.31955,1.329932,1.329932,1.329932,50.4298
distilbert/distilgpt2,61.1,8.3515,8.7731,2.4685,3.6769,4.9882,0.664697,0.672109,0.672109,0.672109,47.4060
google-bert/bert-base-cased,66.1,2.4114,1.9676,1.9701,1.5282,14.0090,0.847686,0.853334,0.853334,0.853334,53.3385
google/bert_uncased_L-2_H-256_A-4,8.8,7.2337,3.0509,2.6003,1.8720,8.3738,0.19486,0.186801,0.186801,0.186801,34.8104
google/bert_uncased_L-2_H-768_A-12,31.6,4.6087,2.6516,2.5701,1.6239,7.7279,0.483617,0.485824,0.485824,0.485824,37.1340
google/electra-small-discriminator,8.8,6.7332,4.8397,3.4958,2.8909,13.1955,0.355837,0.344862,0.344862,0.344862,46.2494
google/electra-small-generator,8.8,4.3666,3.1993,1.6531,1.6679,15.9065,0.351362,0.347271,0.347271,0.347271,45.5622
sentence-transformers/all-mpnet-base-v2,67.3,3.7813,2.0148,2.0861,1.7549,31.1528,0.598801,0.779588,0.779588,0.779588,91.5213
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,17.5,5.0358,2.9929,1.8201,1.7173,11.7144,0.32686,0.321896,0.321896,0.321896,39.3910
sentence-transformers/multi-qa-MiniLM-L6-dot-v1,17.5,4.6050,2.1504,1.4346,1.3326,12.2635,0.324616,0.320919,0.320919,0.320919,38.7089
sentence-transformers/paraphrase-albert-base-v2,8.1,2.8076,2.9568,2.8486,4.5160,17.0333,0.086078,0.109789,0.10976,0.109347,73.2486
sentence-transformers/paraphrase-mpnet-base-v2,67.3,2.4139,2.4306,1.7162,1.8434,15.2710,0.57844,0.785562,0.785562,0.785562,91.1501
EleutherAI/pythia-31m,15.5,2.9704,2.9233,2.1267,2.7976,91.8699,0.247121,0.242032,0.242032,0.242032,39.1694
EleutherAI/pythia-70m-deduped,35.6,177889.8141,177889.8141,177889.8141,177889.8141,147351.4123,0.36705,0.365301,0.365301,0.365301,40.8364
HuggingFaceTB/SmolLM-135M-Instruct,81.9,4.4213,1.8022,1.6733,1.4614,23.5881,1.363766,1.364379,1.364379,1.364379,87.1512
HuggingFaceTB/SmolLM-135M,81.9,4.9567,1.7196,1.6242,1.4423,18.7418,1.363659,1.365558,1.365558,1.365558,87.0894
HuggingFaceTB/SmolLM-360M-Instruct,205.4,5.2855,2.1673,1.4318,2.1026,22.9368,3.094928,3.122102,3.122102,3.122102,119.6888
distilbert/distilbert-base-multilingual-cased,113.6,2.0729,1.7314,1.9808,1.4123,8.7225,0.636262,0.642636,0.642636,0.642636,43.7594
distilbert/distilroberta-base,61.0,9.0682,3.5668,1.9287,1.6420,15.6273,0.543717,0.545759,0.545759,0.545759,41.7213
facebook/opt-125m,83.1,2.7848,1.5148,1.6083,1.8605,10.9571,0.81684,0.822957,0.822957,0.822957,54.1729
google-bert/bert-base-multilingual-cased,135.7,2.1709,1.5446,1.7494,4.3365,12.4945,0.823334,0.827074,0.827074,0.827074,53.0454
google/bert_uncased_L-10_H-768_A-12,60.2,2.8805,1.5608,2.0200,1.6055,12.5849,0.703754,0.709121,0.709121,0.709121,48.2530
google/bert_uncased_L-6_H-512_A-8,25.7,4.3094,1.6520,1.6494,1.3781,8.0619,0.382199,0.382827,0.382827,0.382827,40.2679
google/bert_uncased_L-8_H-128_A-2,4.8,8.1763,2.6712,3.2586,2.2758,12.2010,0.179167,0.173742,0.173742,0.173742,40.1490
microsoft/deberta-v3-small,120.2,3.6597,2.3002,1.9642,1.7280,34.1879,1.191703,1.201438,1.201438,1.201438,70.3074
sentence-transformers/multi-qa-distilbert-cos-v1,45.3,4.5734,1.7192,1.5427,1.6730,11.0974,0.590272,0.595804,0.595804,0.595804,42.9257
