model,params_m,val_p90_e4,val_p90_e8,val_p90_e12,val_p90_e16,test_p90_e16,train_h_e1_4,train_h_e5_8,train_h_e9_12,train_h_e13_16,inference_ms
distilbert/distilbert-base-cased,44.1,5.6690,5.2584,5.0015,5.0015,4.9392,0.444951,0.438056,0.438056,0.438056,34.0880
distilbert/distilbert-base-uncased,45.3,5.7136,5.2421,5.0015,5.0015,4.9392,0.414355,0.405878,0.405878,0.405878,32.9888
google-bert/bert-base-multilingual-uncased,125.2,5.7136,5.2584,5.0805,5.0015,4.9392,0.568069,0.562109,0.562109,0.562109,39.7191
sentence-transformers/paraphrase-TinyBERT-L6-v2,45.9,5.7585,5.5028,5.0805,5.0015,4.9392,0.412473,0.406917,0.406917,0.406917,33.9023
FacebookAI/roberta-base,82.5,5.8037,5.5809,5.0805,5.0015,4.9392,0.481551,0.476113,0.476113,0.476113,38.9618
FacebookAI/xlm-roberta-base,235.9,5.8037,5.3414,5.1606,5.1606,5.0963,2.410674,2.455322,2.455322,2.455322,39.4451
distilbert/distilgpt2,61.1,5.7585,3.3813,2.3661,1.6505,1.5996,0.475274,0.47084,0.47084,0.47084,35.2423
google-bert/bert-base-cased,66.1,5.7136,5.1767,5.0015,5.0015,4.9392,0.598019,0.59336,0.59336,0.59336,40.5856
google/bert_uncased_L-2_H-256_A-4,8.8,5.8447,5.8447,5.5765,5.2379,5.2687,0.178593,0.172879,0.172879,0.172879,28.1109
google/bert_uncased_L-2_H-768_A-12,31.6,5.6690,5.4942,5.0805,5.0171,4.9392,0.319118,0.312074,0.312074,0.312074,28.7796
google/electra-small-discriminator,8.8,5.6071,5.5983,3.4998,2.6651,2.6661,0.305642,0.296868,0.296868,0.296868,42.1544
google/electra-small-generator,8.8,5.8584,5.3498,2.6402,2.0231,2.0754,0.306667,0.296688,0.296688,0.296688,40.0481
sentence-transformers/all-mpnet-base-v2,67.3,5.8037,4.7869,4.3576,4.2766,4.2233,0.402249,0.57027,0.57027,0.57027,41.3367
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,17.5,5.4089,5.4089,4.9238,4.8473,4.7869,0.258808,0.25368,0.25368,0.25368,32.8381
sentence-transformers/multi-qa-MiniLM-L6-dot-v1,17.5,5.4089,5.4089,4.9238,4.8473,4.7869,0.258422,0.252689,0.252689,0.252689,32.7818
sentence-transformers/paraphrase-albert-base-v2,8.1,5.7136,5.5460,5.1606,5.0805,5.0171,0.409006,0.616883,0.616883,0.616883,39.9652
sentence-transformers/paraphrase-mpnet-base-v2,67.3,5.7136,5.1565,4.3576,4.2899,4.2899,0.403167,0.569271,0.569271,0.569271,41.5068
